id,english,polish,level,track,topic_category,material_type,specialism,difficulty_1_5,word_count_en,examples_count,accepted_answers_count,collocations_count,typical_prepositions,translation_check,flags,recommendation
praca_a1_0001_good_morning,Good morning,Dzień dobry,A1,Praca,klient,zwrot,zawodowe,2,2,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak oczywistych problemów technicznych,przypisać do lekcji | zostawić
praca_a1_0002_how_can_i_help_you,How can I help you?,Jak mogę pomóc?,A1,Praca,klient,zdanie,zawodowe,2,5,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
praca_a1_0003_i_need_to_check_the_cable,I need to check the cable,Muszę sprawdzić przewód,A2,Praca,klient,zdanie,zawodowe,3,6,1,1,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak oczywistych problemów technicznych,przypisać do lekcji | zostawić
praca_a1_0004_can_you_show_me_the_router,Can you show me the router?,Czy może mi Pan pokazać router?,A1,Praca,klient,zdanie,zawodowe,2,6,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
praca_a1_0005_the_signal_is_weak,The signal is weak,Sygnał jest słaby,A1,Praca,klient,zdanie,zawodowe,2,4,1,1,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak oczywistych problemów technicznych,przypisać do lekcji | zostawić
praca_a1_0006_the_camera_needs_power,The camera needs power,Kamera potrzebuje zasilania,A1,Praca,klient,zdanie,zawodowe,2,4,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
praca_a2_0007_the_installation_will_take_about_two,The installation will take about two hours,Instalacja zajmie około dwóch godzin,A2,Praca,montaż,zdanie,zawodowe,4,7,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
praca_a2_0008_i_will_prepare_a_quote,I will prepare a quote,Przygotuję wycenę,A2,Praca,montaż,zdanie,zawodowe,3,5,1,1,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak oczywistych problemów technicznych,przypisać do lekcji | zostawić
praca_a2_0009_where_is_the_power_socket,Where is the power socket?,Gdzie jest gniazdko elektryczne?,A2,Praca,montaż,zdanie,zawodowe,3,5,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a1_0010_charger,charger,ładowarka,A1,Techniczne,sprzęt,rzeczownik,techniczne,2,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,"słownictwo specjalistyczne A1 – zostawić w ścieżce technicznej, nie w rdzeniu kursu | brak rejestru językowego",przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a1_0011_battery,battery,bateria,A1,Techniczne,sprzęt,rzeczownik,techniczne,2,1,1,0,3,,wstępnie kompletne; wymaga końcowej kontroli językowej,"słownictwo specjalistyczne A1 – zostawić w ścieżce technicznej, nie w rdzeniu kursu | brak rejestru językowego",przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a1_0012_router,router,router,A1,Techniczne,sieć,rzeczownik,techniczne,2,1,2,0,3,o; n;  ; /;  ; b; e; h; i; n; d,do ręcznej kontroli (identyczny zapis),"identyczny zapis EN/PL – sprawdzić zapożyczenie | słownictwo specjalistyczne A1 – zostawić w ścieżce technicznej, nie w rdzeniu kursu | brak rejestru językowego",przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a1_0013_connection,connection,połączenie,A1,Techniczne,sieć,rzeczownik,techniczne,2,1,1,0,3,t; o;  ; /;  ; w; i; t; h,wstępnie kompletne; wymaga końcowej kontroli językowej,"słownictwo specjalistyczne A1 – zostawić w ścieżce technicznej, nie w rdzeniu kursu | brak rejestru językowego",przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a2_0014_wireless_network,wireless network,sieć bezprzewodowa,A2,Techniczne,sieć,zwrot,techniczne,3,2,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
techniczne_a2_0015_firmware_update,firmware update,aktualizacja oprogramowania urządzenia,B1,Techniczne,serwis,zwrot,techniczne,4,2,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0016_person,person,osoba,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0017_family,family,rodzina,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0018_home,home,dom,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,3,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0019_work,work,praca,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,3,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0020_day,day,dzień,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0021_night,night,noc,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0022_morning,morning,poranek,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0023_evening,evening,wieczór,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0024_water,water,woda,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0025_food,food,jedzenie,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
